Blank line here
"SP","ATA","AID","BPOA","EPOA","A","MAIN","SUB","Admin Bureau","GWA TAS","GWA TAS Name","Agency Name","BETC","BETC Name","Effective Date","Suspend Date","IsCredit","Adj BETC","STAR TAS","STAR Dept Reg","STAR Dept Xfer","STAR Main Acct","Txn Type","Acct Type","Acct Type Description","Fund Type","Fund Type Description"
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","AP","Appropriation - Definite - Regular","2016-10-01","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","AP","Appropriation - Definite - Regular","2016-10-01","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","APADV","Appropriation - Definite - Advance","2016-10-01","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
# I wanted to make a comment in this file so comment number 1
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","APCRREF","Appropriation - Reestimated Loan Subsidy (Credit Reform)","2016-10-01","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","APDF","Appropriation - Debt Forgiveness","2020-06-02","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
# Comment number 2
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","APDLA","Appropriation - Debt Liquidation Appropriation","2020-06-02","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","APIND","Appropriation - Indefinite - Regular","2016-10-01","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","APINDADV","Appropriation - Indefinite - Advance","2020-06-02","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
# Comment number 3 with special characters #$%^&**()!@##$$ 
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","APINDPYA","Appropriation - Indefinite - PY Upward Adjustment","2020-06-02","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","APINDW","Appropriation - Indefinite - Withdrawn","2020-06-02","","0","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","APINDYEC","Indefinite, Year End Closing Adjustment, Credit","2016-10-01","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
